04/03/24,label
"… Sob pressão por novos estímulos à economia, governo de Pequim promove na semana as reuniões plenárias anuais. Nos EUA, antes do payroll de fevereiro (6ªF), Powell vai ao Congresso americano duas vezes (4ªF e 5ªF) para comentar o relatório semestral de política monetária do Fed, que recomenda não cortar juro antes de ter maior confiança na desinflação e reforça a aposta de que o ciclo só começará em junho. Também o BCE, que se reúne na 5ªF, deve deixar para agir só em junho. Por aqui, Campos Neto faz palestra hoje em SP (10h), após ter dito no final de semana que está otimista de que o governo entregará déficit fiscal menor do que o projetado pelo mercado. No noticiário corporativo, causa bastante suspense o balanço da Petrobras (5ªF) e a polêmica dos dividendos.",0
"… O investidor não gostou de Prates ter plantado dúvidas, semana passada, sobre os dividendos extraordinários, contrariando as apostas das principais casas de análise de que a estatal pudesse anunciar distribuição de até R$ 8 bi.",0
"… Desde o comentário do presidente da estatal de que a transição da companhia para uma potência em energia renovável exige “cautela” em relação ao pagamento de dividendos, tem faltado fôlego aos papéis da Petrobras.",0
"… Em novo ruído, na última 6ªF, a imprensa veiculou notícia sobre a abertura de investigação para apurar denúncias de irregularidades no contrato firmado entre a Petrobras e Unigel, que poderiam afetar o cronograma do balanço.",0
… Mas a estatal garantiu que o calendário de divulgação está mantido e negou que KPMG tenha sido contratada para auditoria e recomendado que dois diretores sejam afastados da certificação das demonstrações financeiras.,0
"… Segundo informações do colunista Lauro Jardim (O Globo), o processo é um desdobramento do pedido de investigação do TCU que apontou indícios de irregularidade e prejuízo potencial de R$ 487,1 mi para a Petrobras.",0
"… O caso diz respeito ao contrato de industrialização sob encomenda (“tolling”) de fertilizantes firmado pela estatal em dezembro com a Unigel. Segundo a Petrobras, a celebração do contrato respeitou o sistema de governança.",0
"… Além da Petrobras, a temporada de balanços da semana reserva CSN, CSN Mineração e 3R Petroleum (4ªF), Fleury, Arezzo, CBA, Petz e Zamp (5ªF), Raia Drogasil (amanhã), além de Vibra e Pague Menos (hoje, após o fechamento).",0
"… Na agenda dos indicadores econômicos, depois da boa notícia do superávit primário de US$ 79,337 bilhões das contas do Governo Central em janeiro, o destaque é o resultado consolidado do setor público, que sai na 5ªF.",1
"… Apesar das desconfianças fiscais, Campos Neto manifestou, em entrevista à Folha no final de semana, otimismo de que o governo Lula tem condições de entregar um déficit menor do que a projeção do mercado (0,7% a 0,8% do PIB)",1
"… Sobre o PIB, disse que o BC tem estimativa de 1,7% no ano e que um crescimento “muito grande” afetaria o processo inflacionário. Ele reiterou que segue acompanhando de perto a inflação de serviços e o efeito de salários.",0
"… Disse ainda não ser possível projetar a Selic terminal. Na 6ªF, após o PIB estável e sem surpresas do 4Tri, o mercado manteve a aposta de que o Copom vai derrubar o juro em meio ponto pelo menos mais uma vez (março).",0
"… Mas algumas casas já especulam que o BC possa remover do comunicado de política monetária deste mês o uso do plural empregado para sinalizar a continuidade do ritmo de cortes, lançando dúvidas sobre maio e junho.",0
"… Durante palestra na 6ªF, em SP, Galípolo disse que fazer forward guidance é um “esporte de altíssimo risco”, que “até agora se pagou”. Se ele quis deixar no ar a menor disposição para sinalizar mais 0,5pp, é o que se verá.",0
"… Nas últimas semanas, integrantes do Copom não têm escondido os receios com o impacto dos salários e da renda sobre a inflação de serviços, pondo em dúvida as chances de a Selic terminar o ciclo de relaxamento em um dígito.",-1
"… No Focus, que devido à operação-padrão do BC, só será divulgado amanhã, a projeção para o juro segue, no entanto, em 9%. A estimativa para o PIB é de 1,75%, sem repetir o desempenho forte registrado em 2023 (2,90%).",0
"… O salto recorde de 15,1% do crescimento no ano passado do setor agropecuário, sustentado pela supersafra e por bons preços no mercado internacional, não deve perdurar este ano, contratando um PIB doméstico mais brando.",1
"MAIS AGENDA – O ritmo da atividade econômica será conferido esta semana pelos dados de janeiro da produção industrial (4ªF). No mesmo dia, saem a balança comercial de fevereiro e as transações correntes e IDP de janeiro.",0
"… Do lado da inflação, a semana começa com o IPC-Fipe de fevereiro (hoje, 5h), que deve desacelerar a 0,43%, contra 0,46% em janeiro, na mediana do Broadcast. Na 5ªF, vem o IGP-DI de fevereiro e, na 6ªF, a prévia do IPC-S.",0
"… O fluxo cambial de fevereiro sairá na 5ªF, ao invés de 4ªF. Como os servidores do BC, os do Tesouro e da GGU vão entrar em operação-padrão, com um dia de paralisação amanhã, em meio às negociações de reajuste salarial.",0
BRASÍLIA – O ministro Alexandre Padilha informou que na 5ªF haverá reunião com CMO para discutir vetos à LDO.,0
"… Em outro ponto de atrito com o Congresso, os prefeitos ameaçam com protesto na 4ªF, revoltados com a decisão do governo federal de manter na MP 1.202 a reoneração da folha de pagamentos dos pequenos municípios.",0
"… Neste momento em que os municípios se insurgem contra a equipe econômica, a Fazenda chamou para uma reunião nesta semana o relator da PEC que cria um novo Refis para as prefeituras, o senador Carlos Portinho (PL-RJ).",0
"… Amanhã, Lula vai reunir senadores para uma confraternização no Palácio da Alvorada. O encontro repetirá os moldes do jantar que foi realizado para os deputados federais poucos dias atrás e que teria criado “ciumeira”.",0
"… Aliados de Pacheco relataram ao Valor que estão incomodados por estarem sendo preteridos pela Câmara. Em episódio recente, causou ruído a escolha do senador Rogério Carvalho para a relatoria da CPI da Braskem.",0
"… Pacheco já havia avalizado Renan Calheiros para a vaga, mas na visão de interlocutores, o Planalto acabou privilegiando a vontade do presidente da Câmara, Arthur Lira, que vetou o nome de Renan, seu adversário político.",0
"BC X PT – Ainda na entrevista que deu à Folha, Campos Neto defendeu a costura de um acordo com Haddad para a aprovação da PEC que amplia a autonomia da instituição financeira. Os dois conversaram na última 6ªF.",0
"… “Eu tentei dar conforto para ele [Haddad] que o BC tem flexibilidade, que a gente pode discutir, que nada vai ser feito à revelia”, disse RCN. Em seu perfil no X, Gleisi reagiu à PEC, que “submete o Brasil a uma ditadura monetária”.",0
"LÁ FORA – Precificado majoritariamente para um corte de juro pelo Fed só em junho, o mercado acompanha nos EUA, além do payroll e da presença de Powell no Capitólio, a pesquisa de emprego ADP e o Livro Bege, ambos 4ªF.",0
"… O presidente do Fed da Filadélfia, Patrick Harker (não vota este ano pelo sistema de rodízio), discursa hoje (13h).",0
"… No fim da noite de 5ªF, Biden faz discurso de Estado da União, em que deve abordar os conflitos geopolíticos (Ucrânia e Gaza). O mercado monitora a negociação de um cessar-fogo entre Israel e o Hamas neste mês do Ramadã.",0
"… Na zona do euro, a pressão na leitura preliminar de fevereiro do CPI (2,6%) anulou as esperanças de um corte prematura do juro (abril) e o BCE só deve ficar confortável para sinalizar na próxima 5ªF um desaperto em junho.",0
"… Na 6ªF, sai o PIB/4Tri no bloco europeu. Amanhã, a inflação ao produtor (PPI) e o PMI composto de fevereiro, que será informado ainda na Alemanha, Reino Unido e nos EUA. Canadá (4ªF) e Peru (5ªF) decidem juro na semana.",0
"CHINA – Hoje à noite (22h45), sai o PMI composto de fevereiro medido pelo setor privado. Na virada de 4ªF para 5ªF, tem a balança comercial do primeiro bimestre. A inflação (CPI e PPI) de 6ªF à noite repercutirá só semana que vem.",0
"… A consultoria Oxford Economics acredita que o governo de Pequim reduzirá esta semana em baixa, durante o Congresso Anual do Povo, a meta anual do crescimento econômico chinês, que está em “cerca de 5%”.",0
"PETRÓLEO – Confirmando a expectativa que puxou com força as cotações do petróleo na 6ªF (abaixo), a Bloomberg informou neste domingo que a Opep+ decidiu estender os cortes na produção, de 2 milhões de bpd, até final do 2Tri.",0
"… A Rússia anunciou que restringirá a oferta em 471 mil bpd período, em coordenação com a Opep.",0
"INÍCIO DISCRETO – Longe da animação em NY (abaixo), o Ibovespa entrou março com alta tímida. O PIB comportado do IBGE ajudou a aliviar os juros, o que é bom para a bolsa, mas o índice subiu só 0,12%, a 129.180,37 pontos.",0
"… Por aqui, pesaram os desempenhos modestos de Vale (-0,16%; R$ 66,88), que refletiu de longe a forte queda de 1,75% do minério em Dalian, e Petrobras, que não conseguiu absorver os ganhos do petróleo. ",0
"… O papel ON cedeu 0,02% (R$ 41,21) e PN subiu 0,10% (R$ 40,18), enquanto o Brent para maio disparou 2%, a US$ 83,55 o barril, na ICE. O WTI/abril subiu 2,19%, a US$ 79,97. Na semana, ganharam 3,40% e 4,55%, respectivamente.",0
"… As altas vieram das expectativas, confirmadas neste domingo, de que a Opep+ estenderia os cortes voluntários de produção para o fim do segundo trimestre.",0
"… Os bancos foram o contraponto positivo da bolsa: Bradesco ON, +0,81% (R$ 12,40) e PN, +0,36% (R$ 13,80%). Itaú subiu 0,44% (R$ 34,07) e BB avançou 0,10% (R$ 57,92). Santander unit ficou estável (-0,03%) em R$ 28,59.",0
"… A maior valorização da sessão de 6ªF foi de Casas Bahia (+7,52%, a R$ 9,72), em repercussão ao anúncio de que a companhia fechou com um grupo de instituições financeiras o reperfilamento de dívidas no valor de R$ 1,5 bilhão.",0
"… Embraer (+5,94%; R$ 25,88) e Lojas Renner (+5,25%; R$ 16,63) foram bem. No lado oposto, São Martinho liderou a lista negativa, com -4,56%, a R$ 27,01.",0
"… B3 caiu 3,20% (R$ 12,42) com a informação de que a Mubadala Capital quer abrir uma bolsa no Brasil no segundo semestre de 2025.",0
… Recuo dos yields dos Treasuries e PIB brasileiro estável no 4Tri reduziram os prêmios dos DIs.,0
"… No fechamento, o DI para Jan25 caiu a 9,940% (de 9,956%). O DI Jan26, a 9,735% (9,784%). O Jan27, a 9,935% (9,976%); o Jan29, a 10,365% (10,411%); Jan31, a 10,610% (10,657%); e Jan33, a 10,730% (de 10,776%).",0
… O câmbio se favoreceu não somente do comportamento dos juros nos EUA como também dos ganhos do petróleo e da expectativa de anúncios de mais estímulos à atividade pela China no congresso do governo.,1
"… O dólar fechou em baixa de 0,35%, aos R$ 4,9553, com perda semanal de 0,76% na semana.",1
"TECHS, DE NOVO – As bolsas em NY receberam novo impulso na 6ªF após o forte balanço da Dell renovar o otimismo com as empresas de tecnologia. A empresa teve lucro acima do esperado por causa do aumento da demanda por IA.",0
"… A ação disparou 31,6%. Nvidia (+4%) e Meta (2,5%) acompanharam e ajudaram o Nasdaq a bater recorde pelo segundo dia consecutivo, a 16.274,94 pontos (+1,17%). Na semana, o índice liderou as altas em NY, ao subir 1,74%.",0
"… Após o “aumento dramático” do mercado de ações dos EUA nos últimos quatro meses, os investidores estão começando a acreditar em uma “segunda etapa” do rali puxado pelas techs, disse Yung-Yu Ma (BMO Wealth).",0
"… “Eles parecem acreditar que não será apenas uma pequena fatia do mercado que se beneficiará dos gastos com IA”, disse.",0
"… Um potencial “boom de produtividade” proveniente dessa tecnologia poderá continuar a alimentar os ganhos do mercado de ações nos próximos anos, afirmou.",0
"… As techs também ajudaram o S&P 500 a bater novo recorde, o 15º do ano, ao avançar 0,80%, a 5.137,09 pontos",0
"… O índice teve um ganho semanal de 0,9% e assim terminou em alta em 16 das últimas 18 semanas, algo não visto desde 1971, segundo a DJ.",0
"… Novas más notícias envolvendo o New York Community Bancorp (NYBC), que incluíram a divulgação de “fraquezas materiais” em sua contabilidade e a troca de seu executivo-chefe, ficaram em segundo plano.",0
… A ação caiu 26% e levou outros bancos regionais junto.,0
"… Por fim, Dow Jones subiu 0,23% (39.087,39), mas na semana cedeu 0,11%.",0
"… Na 6ªF, a queda dos juros dos Treasuries foi outro fator a ajudar as bolsas. O dia foi volátil.",0
"… Primeiro, um relatório do analista Torsten Slok (Apollo Global Management) dizendo que o Fed pode não cortar juros este ano e os problemas no NYCB pressionaram os rendimentos.",0
… Slok escreveu que a economia dos EUA não está suavizando e que o chamado “pivô do Fed” em dezembro criou um vento favorável ao crescimento desde então.,0
"… Ao longo da sessão, contudo, indicadores da economia americana abaixo do esperado e sobretudo a fala do prestigiado Cristopher Waller sobre o balanço do Fed reduziram os prêmios dos bonds americanos.",0
"… Medido pelo ISM, o PMI industrial dos EUA caiu a 47,8 em fevereiro, ante 49,1 em janeiro e previsão de 49,5.",1
"… O consumidor ficou menos otimista. O índice de sentimento da Universidade de Michigan caiu a 76,9 em fevereiro, de 79,0 em janeiro. Analistas esperavam avanço a 79,6.",1
"… Os investimentos em construção caíram 0,2% em janeiro ante dezembro, quando se esperava alta de 0,2%.",1
"CICLO MAIOR – Com os dados fracos, o mercado voltou a precificar majoritariamente quatro cortes de 0,25pp de juro pelo Fed: esta chance é de 33% no CME, contra 30% de três quedas. Para 55%, a flexibilização começa em junho.",-1
"… Quanto a Waller, o diretor do BC americano defendeu uma desaceleração do ritmo de redução do balanço. Também disse ser favorável a uma parcela maior de títulos do Tesouro de curto prazo.",0
"… Lorie Logan (Dallas) também fez discurso nessa linha, dizendo que um ritmo mais gradual no corte do balanço não implica uma interrupção do processo.",0
"… Na note de 2 anos, o yield chegou a cair à mínima de 2 semanas, em 4,52%, para fechar a 4,534%, de 4,622% na véspera. O juro da note de 10 anos recuou a 4,178% (4,255%) e o do T-bond de 30 anos caiu a 4,323% (4,383%).",-1
"… Na bateria de discursos de dirigentes do Fed na 6ªF, Tom Barkin reiterou não ter pressa de cortar juros. “Veremos se vamos reduzir, a economia dirá o que devemos fazer”, afirmou.",0
"… Austan Goolsbee (Chicago) defendeu juros restritivos pelo tempo necessário e disse que, apesar de a inflação ter cedido nos últimos meses, ainda são necessários mais dados para pensar em corte.",0
"… No câmbio, o dólar perdeu espaço para o euro depois de a prévia do CPI da região ter desacelerado a 2,6% em fevereiro, de 2,8% em janeiro, mas acima dos 2,5% esperados. A moeda comum subiu 0,25%, a US$ 1,0839.",1
"… Logo depois, Robert Holzmann (BCE) voltou a alertar contra cortes prematuros nos juros. Para o ING, a lentidão na desinflação levará o BCE a manter juros em março e abril. Mesma opinião do BofA, Oxford e Capital Economics.",1
"… A libra também avançou 0,25%, a US$ 1,2657. Huw Pill (BoE) disse que um corte nos juros “ainda demora um pouco” e que é preciso evitar uma “falsa sensação de segurança” ao avaliar se a inflação caminha para a meta de 2%.",1
"… O iene caiu 0,15%, a 150,16/US$. O índice DXY recuou 0,28% no dia e caiu 0,07% na semana.",1
"EM TEMPO… Na Folha, a PETROBRAS estaria retardando o pagamento de R$ 980 milhões em compensações ambientais por exploração de petróleo com grande impacto…",0
"… Dados fornecidos pelo ICMBio, via Lei de Acesso à Informação (LAI), mostram que há 45 empreendimentos com as compensações pendentes, mas os termos de compromisso não chegaram a ser assinados…",0
"… Em resposta, a Petrobras disse que cumpre a legislação e suas obrigações.",0
UNIGEL. Credores detentores de debêntures da empresa entraram com pedido na Justiça contestando os prazos estipulados nos planos de recuperação extrajudicial e um tratamento desigual entre os credores…,0
"… De acordo com o documento entregue à Justiça de São Paulo, os debenturistas pedem que a companhia apresente em 48 horas os planos de recuperação definitivos, assim como os documentos e anexos. (Broadcast)",0
"VALE. Previ enviou ofício à CVM solicitando que empresa torne pública ata da reunião extraordinária do Conselho de Administração de 15/2, quando empate na votação travou o processo de decisão sobre a liderança da companhia.",0
"GOL. Pelo menos um dos arrendadores de aviões da empresa foi acionado pela sua concorrente, a Latam, pouco antes de a companhia começar um processo de recuperação judicial nos EUA, segundo os advogados da aérea…",0
"… Para empresa, o objetivo da Latam era tentar interferir em sua recuperação, porque a companhia chilena opera com aviões diferentes dos usados pela empresa brasileira…",0
"… Ainda segundo a Gol, a abordagem aos arrendadores era uma tentativa da Latam de violar a proteção conferida pela recuperação judicial a ativos da Gol. (Valor)",0
OI. Administrador judicial recomendou manter a assembleia de credores para amanhã.,0
"GAFISA reiterou que os acionistas devem desconsiderar a AGE convocada para 18 de março pelo Esh Theta, acionista da companhia e um dos fundos da gestora Esh Capital…",0
"… Em documento enviado à CVM, a companhia disse que convocou uma AGE para 26 de abril, a pedido da Esh, e que será essa a data válida para a reunião.",0
"… Preço indicado na notificação para a venda das ações é de R$ 90 mi que, atualizado pela variação acumulada do IPCA, a partir de 1º de julho de 2021 até 29 de fevereiro de 2024, totaliza o montante de R$ 106.941.798…",0
"AMERICANAS SA informou que foi notificada de que os acionistas minoritários da Uni.Co exerceram o direito de vender as ações para a varejista por R$ 106,9 milhões; o Grupo Uni.co é dono da Imaginarium e da Puket…",0
… Companhia acrescentou que está avaliando os termos da proposta.,0
