DataHora,Manchete,Direção
2024-11-21 14:34:00,"BC: Fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bi",Aumento
2024-11-21 14:34:00,"Fluxo total em novembro, até dia 14, está negativo em US$ 1,421 bi",Aumento
2024-11-21 14:35:00,"Itaú BBA mantém recomendação de compra para Direcional, com preço-alvo de R$ 36,00",Diminuição
2024-11-21 14:35:00,"Banco destaca que desempenho da empresa segue acima do esperado, sem sinais de desaceleração",Diminuição
2024-11-21 14:36:00,"Fed/Goolsbee: Juros devem se aproximar do nível neutro em 2025, bem abaixo da faixa atual",Diminuição
2024-11-21 14:36:00,Inflação está retornando à meta de 2% e mercado de trabalho segue estável,Diminuição
2024-11-21 14:40:00,"BC: Fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bi",Diminuição
2024-11-21 14:47:00,Fed/Goolsbee: Estamos nos movendo para cenário de emprego máximo e mercado de trabalho estável,Aumento
2024-11-21 14:49:00,Juros futuros batem nas mínimas do dia,Aumento
2024-11-21 14:55:00,"Taxa Ptax fecha em R$ 5,8173, alta de 0,74%",Diminuição
2024-11-21 14:58:00,"Reino Unido/Starmer: Iremos apoiar a Ucrania com o que for preciso, e pelo tempo que for preciso",Aumento
2024-11-21 15:03:00,EUA: Matt Gaetz desiste de se tornar secretário de Justiça após críticas de opositores e republicanos,Aumento
2024-11-21 15:08:00,"IFI estima que governo precisa de R$ 13,6 bi até dezembro para alcançar piso da banda da meta fiscal deste ano",Diminuição
2024-11-21 15:12:00,PF envia ao STF relatório final do inquérito da tentativa de golpe e indicia Bolsonaro,Aumento
2024-11-21 15:20:00,Argentina: FMI confirma negociações com governo Milei para novo acordo,Diminuição
2024-11-21 15:23:00,Veja lista dos indiciados pela Polícia Federal no inquérito sobre tentativa de golpe de Estado,Diminuição
2024-11-21 15:33:00,"MERCADOS: Ibovespa ignora alta das bolsas americanas; juros futuros recuam, na contramão dos Treasuries e do dolar",Aumento
2024-11-21 15:43:00,IFI: Quatro decisões adotadas entre transição e 1o ano do governo Lula custarão até R$ 3 tri em 10 anos,Aumento
2024-11-21 15:46:00,Cobre devolve ganhos recentes com dolar forte e preocupação sobre plano de Trump de elevar tarifas de importação,Diminuição
2024-11-21 15:46:00,"Na Comex, o contrato para dezembro caiu 0,73%, a US$ 4,1250 por libra-peso",Diminuição
2024-11-21 15:46:00,"Na LME, o contrato para três meses tinha baixa de 0,41% há pouco, para US$ 9.044,50 por tonelada",Diminuição
2024-11-21 15:48:00,MERCADOS: Ouro sobe pelo 4o dia seguido com tensões na Europa,Diminuição
2024-11-21 15:51:00,BC: Há sinais de inflexão das condições de oferta de crédito no 4TRI24,Diminuição
2024-11-21 15:55:00,Rússia: Putin afirma que lançou novo míssil balístico hipersonico contra a Ucrania e faz alerta ao Ocidente,Aumento
2024-11-21 15:58:00,"EUA: SEC informa que Gary Gensler deixará presidência do órgão em 20/01/25, dia da posse de Trump",Aumento
2024-11-21 15:58:00,Substituto de Gensler ainda não foi anunciado pelo presidente eleito,Aumento
2024-11-21 16:04:00,Ex-comandantes do Exército e Aeronáutica revelaram à PF que Bolsonaro apresentou plano de golpe,Diminuição
2024-11-21 16:19:00,EMPRESAS: Petrobras avança à espera de mais informações sobre Plano Estratégico,Aumento
2024-11-21 16:21:00,Santander estima bloqueio adicional de R$ 5 bi em despesas no relatório bimestral amanhã,Aumento
2024-11-21 16:34:00,EMPRESAS: Allos anuncia saída de vice-presidente de negócios e de diretor comercial,Diminuição
2024-11-21 16:37:00,CMO fará reunião na próxima 3aF para dar andamento ao Orçamento de 2025,Aumento
2024-11-21 16:44:00,"UBS: dolar pode ter subido demais e pode atrair vendas em 2025, mas real ainda deve sofrer",Diminuição
2024-11-21 16:54:00,EMPRESAS: BRF se destaca entre as altas após acordo para adquirir fábrica de processados na China,Diminuição
2024-11-21 17:00:00,"Petróleo/fechamento: Brent para janeiro sobe 1,95%, a US$ 74,23 por barril, na ICE",Aumento
2024-11-21 17:00:00,"WTI para janeiro avança 1,96%, a US$ 70,10 por barril, na Nymex",Aumento
