date,article,label
07/02/24,"… Quatro Fed boys falam hoje, enquanto o mercado especula se o juro nos EUA cairá em maio ou junho, porque março já parece descartado. Na China, tem inflação à noite, após Pequim prometer um pacote para impulsionar o consumo. A iniciativa, combinada ao otimismo com a temporada de balanços dos bancos por aqui, recuperou os 130 mil pontos para o Ibov. Com os papéis dos bancos voando na bolsa, o Bradesco divulga, antes da abertura dos negócios, seu resultado trimestral e um amplo plano estratégico. Ainda na agenda do dia, saem o resultado fiscal do setor público consolidado (8h30), as vendas no varejo em dezembro (9h) e a balança comercial (15h). Campos Neto faz palestra em SP (10h). Em Brasília, o desfecho da MP da Reoneração parece estar mais próximo.",0
07/02/24,"… O líder do governo no Congresso, senador Randolfe Rodrigues, disse que até o fim desta semana o governo Lula deve ter uma decisão a respeito do formato do texto. A ideia é fatiar os temas tratados dentro da MP.",1
07/02/24,… Estuda-se a viabilidade de endereçar separadamente o trecho que trata da reoneração e deixar na MP a proposta que limita compensações tributárias e revoga benefícios do Perse (programa para o setor de eventos).,0
07/02/24,"… Presente ontem à reunião de líderes do Senado com Haddad, Efraim Filho (União Brasil) disse que ficou claro na mesa de negociação que o envio da reoneração por PL é o melhor caminho para pressupor um diálogo.",0
07/02/24,"… Mais cedo, o líder do governo na Câmara, José Guimarães (PT), havia antecipado que um caminho para viabilizar a tramitação da MP 1.202 seria converter o texto em projeto de lei com urgência constitucional.",0
07/02/24,"… “É a minha opinião pessoal”, disse, acrescentando que Haddad avalia a possibilidade com Lira e Pacheco.",0
07/02/24,"… De última hora, lideranças da Câmara cancelaram nesta 3ªF a participação em reunião que teriam com Haddad, um dia depois de Lira ter subido o tom contra o governo na sessão de abertura do ano legislativo.",0
07/02/24,"… Um novo encontro foi marcado para hoje (14h) e aliados do presidente da Câmara estão decididos a aumentar a pressão e cobrar a manutenção do Perse, que deve custar R$ 4,4 bi aos cofres públicos este ano.",0
07/02/24,"… Além de ser considerado caro, o programa está na mira da equipe econômica por suspeita de fraudes e irregularidades, incluindo lavagem de dinheiro, que pode ter elevado o custo do programa a R$ 32 bi em 2023.",-1
07/02/24,"… Ainda hoje à tarde (15h), deputados farão um ato na Câmara, em que será entregue um manifesto pedindo a Pacheco a manutenção do Perse e a devolução da MP de reoneração “autoritária e antidemocrática”. ",-1
07/02/24,"… Haddad desconversou ontem, quando questionado sobre o clima de mal-estar depois do discurso duro de Lira na 2ªF, que cobrou “acordos firmados”, disse que o Legislativo não é um “carimbador” e que o Orçamento “é de todos”,",0
07/02/24,"… O ministro da Fazenda disse que “está tudo bem, vai dar tudo certo” e que tudo evolui quando se conversa.",0
07/02/24,"… Em novo desafio para as receitas, o governo federal publicou edição extra do Diário Oficial na noite de ontem elevando o teto da isenção de IR para dois salários mínimos, o equivalente à remuneração mensal de até R$ 2.824.",-1
