DATE,TIME,HEADING,ARTICLE CONTENT,LABEL,COMMENTS
2021-11-24,14:34,"BC: Fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bi",,-1.0,Fluxo cambial negativo significa menos reserva cambial
2021-11-24,14:34,"Fluxo total em novembro, até dia 14, está negativo em US$ 1,421 bi",,-1.0,Fluxo cambial negativo significa menos reserva cambial
2021-11-24,14:35,"Itaú BBA mantém recomendação de compra para Direcional, com preço-alvo de R$ 36,00",,0.0,Notícias do mercado de ações não afetam a taxa de câmbio
2021-11-24,14:35,"Banco destaca que desempenho da empresa segue acima do esperado, sem sinais de desaceleração",,0.0,Notícias do mercado de ações não afetam a taxa de câmbio
2021-11-24,14:36,"Fed/Goolsbee: Juros devem se aproximar do nível neutro em 2025, bem abaixo da faixa atual",,0.0,"O FED anuncia que a taxa de equilíbrio da economia é 
menor do que a taxa atual. Isso significa que a expectativa do mercado é de que a taxa atual seja reduzida provocando possibilidade de arbitragem, trazendo US$ para o Brazil"
2021-11-24,14:36,Inflação está retornando à meta de 2% e mercado de trabalho segue estável,,1.0,"Aparentemente a inflação está voltando à meta, evitando aumentos da taxa de juros"
2021-11-24,14:40,"BC: Fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bi","O Banco Central informou que o fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bilhão, resultado de saída de US$ 1,262 bilhão pela conta financeira e saída de US$ 727 milhões pela conta comercial. 
No acumulado de novembro, até dia 14, o fluxo total está negativo em US$ 1,421 bilhão, com saída de US$ 324 milhões pelo canal financeiro e US$ 1,097 bilhão pela via comercial. 
No ano, até dia 14/11, o fluxo total segue positivo em US$ 8,132 bilhões. 
O BC informou ainda que teve perda de R$ 3,886 bilhões com swap cambial. A posição cambial líquida está em US$ 245,348 bilhões.",-1.0,"Com fluxo cambial negativo, o Governo Federal está precisando gastar reservas cambiais para estabilizar o câmbio Spot"
2021-11-24,14:47,Fed/Goolsbee: Estamos nos movendo para cenário de emprego máximo e mercado de trabalho estável,,1.0,"A estabilização da maior economia do mundo, é sinal de estabilidade para as outras economias"
2021-11-24,14:49,Juros futuros batem nas mínimas do dia,"DI Jan27 a 13,330%; Jan29 a 13,145%; Jan31 a 12,990%; Jan33 a 12,870%",-1.0,"As taxas futuras de remunaeração dos títulos públicos brasileiros estão aumentando, sinalizando que o mercado financeiro não acredita que o governo conseguirá controlar o défict público"
2021-11-24,14:55,"Taxa Ptax fecha em R$ 5,8173, alta de 0,74%",,-1.0,A fuga de capitais se reflete no cÂmbio spot provocando depreciação no valor
2021-11-24,14:58,"Reino Unido/Starmer: Iremos apoiar a Ucrania com o que for preciso, e pelo tempo que for preciso","O primeiro-ministro do Reino Unido, Keir Starmer, afirmou hoje que ""o apoio do Reino Unido à Ucrania é sempre para autodefesa"". 
Em discurso no parlamento britânico, o líder trabalhista afirmou que o apoio é ""proporcional, coordenado e ágil, e uma resposta às próprias ações da Rússia, e está em conformidade com o direito internacional. 
Nos termos do artigo 51.º da Carta das Nações Unidas, a Ucrania tem um claro direito de autodefesa contra os ataques ilegais da Rússia"". ""Iremos apoiar a Ucrania com o que for preciso, e pelo tempo que for preciso"", afirmou Starmer. 
As declarações vieram após as forças armadas da Ucrania dispararem mísseis de cruzeiro britânicos contra alvos militares dentro da Rússia pela primeira vez.",0.0,Notícias políticas da Europa não afetam o preço spot da taxa de câmbio brasileiro
