11/03/24,label
"… Os negócios estavam fechados na 6ªF, quando saíram duas notícias que vão repercutir. O CEO da Vale, Eduardo Bartolomeo, teve o final do mandato estendido de maio até dezembro e será aberto processo de sucessão. Na China, o CPI registrou alta anualizada de 0,7% em fevereiro e veio mais pressionado do que o consenso de 0,4%. Já o PPI (-2,7%) teve deflação um pouco maior do que a esperada (-2,5%). A dinâmica inflacionária também é o destaque da agenda dos indicadores da semana aqui e nos EUA, com o IPCA e o CPI de fevereiro (ambos amanhã). O investidor está fechado com um corte do juro pelo Fed só em junho, enquanto o Copom desperta o debate sobre o fim antecipado do forward guidance, em meio às pressões políticas de todos os lados: por Selic de um dígito, por mais gastos públicos, por mudanças mais tarde na meta fiscal, sem falar nas interferências na Vale (polêmica de Mantega) e na Petrobras (hoje Lula encontra Prates, às 15h), que ajudam a compor um ambiente de risk-off.",0.0
"… Com a popularidade de Lula em baixa nas pesquisas, o mercado se assusta com os riscos de populismo fiscal, que contratam pressões às contas públicas. Os ganhos de arrecadação neste início de ano estão mudando o jogo.",-1.0
"… Ao que tudo indica, embora desacreditada pelo mercado desde o início, a promessa de Haddad de déficit zero deve ser empurrada até o relatório bimestral de julho, na estratégia para criar o clima para juro abaixo de 10%.",-1.0
"… Reportagem da Folha deste domingo diz que o foco do governo, segundo interlocutores, é “dar um sinal fiscal mais forte” para que a Selic volte a um dígito pela primeira vez desde fevereiro/22 e recupere a imagem de Lula.",-1.0
"… A equipe econômica considera ideal ao menos três cortes adicionais no juro, de 0,5pp cada (março, maio e junho). Mas a tentativa de garantir um ambiente propício para o Copom continuar derrubando a taxa esbarra na inflação.",-1.0
"… Amanhã, o IPCA de fevereiro deve acelerar para 0,78%, contra 0,42% em janeiro, segunda a mediana de pesquisa Broadcast. O dado virá pressionado pelo reajuste de mensalidades escolares e o aumento do ICMS sobre a gasolina.",-1.0
"… O indicador pega o mercado sob os alertas do BC quanto aos preços dos serviços, que trazem insegurança e possivelmente estariam por trás da intenção já levantada por Galípolo e Guillen de abandonar o forward guidance.",-1.0
"… O mercado se pergunta se o Copom eliminará do comunicado já na reunião da semana que vem o plural da sinalização futura de queda da Selic, preferindo não se comprometer com qualquer indicação mais dovish.",0.0
"… A eventual mudança na linguagem prepararia o espírito do investidor para cortes menores da Selic (0,25pp) ainda neste semestre e poderia abalar a convicção de Selic terminal abaixo de dois dígitos no levantamento Focus (9%).",1.0
"A MÃO VISÍVEL DO ESTADO – Como esperado, a frustração com a ausência de dividendos extraordinários afundou as ações da Petrobras e levou o Ibovespa junto na 6ªF (leia mais abaixo).",0.0
"… Se a estratégia não agradou, o mercado gostou menos ainda de reforçar a suspeita de intervenção do governo na estatal, após a Reuters informar que Lula se envolveu diretamente na decisão sobre os dividendos.",0.0
"… Segundo a agência, o governo vai se empenhar em mudar a regra sobre a reserva estatutária da companhia para poder utilizar os recursos retidos dos dividendos extraordinários (R$ 43,9 bilhões) para realizar investimentos.",0.0
… Os rumores de mudanças nas regras do jogo esvaziaram qualquer alívio com os comentários de Prates de que os dividendos extraordinários 100% retidos em 2023 não serão utilizados para investimentos ou para pagar dívidas.,0.0
