date,article,label
09/01/24,"O petróleo testava reação moderada (+0,50%) no pregão asiático, o que pode ser positivo para o Ibovespa nesta 3ªF de agenda fraca.",0
09/01/24,"Circularam comentários de que a reunião de Pacheco com os líderes do Senado para debater a MP da reoneração da folha, prevista para as 9h, poderia nem acontecer, esvaziada pelo recesso parlamentar.",0
09/01/24,"De qualquer modo, seis senadores estão com a presença confirmada. Único indicador previsto aqui é a prévia do IGP-M (8h).",0
09/01/24,"Nos EUA, sai a balança comercial de novembro (10h30) e o Fed boy Michael Barr participa de evento às 14h.",-1
09/01/24,"O investidor cumpre a espera pela 5ªF, que promete a emoção do CPI americano, neste momento em que o mercado já não tem tanta certeza se o juro vai cair seis vezes nos EUA e nem se o primeiro corte do Fed virá em março.",-1
09/01/24,"NY já tinha fechado ontem, quando a diretora do Fed Michelle Bowman disse, em conferência, que ainda não é o momento de discutir o início do ciclo de queda e que não descarta até mesmo um aperto se a inflação estagnar.",-1
09/01/24,"Por outro lado, ela observou que a política monetária do Fed já é restritiva o suficiente para trazer a inflação de volta à meta de 2%, caso mantida no patamar atual pelo “tempo necessário” (que ninguém sabe qual é).",-1
09/01/24,"Mais cedo, Raphael Bostic, que também vota este ano, afirmou que espera só dois cortes de 25pb no juro e apenas no final do ano, ressaltando que ainda não se sente confortável para declarar vitória sobre a inflação.",-1
09/01/24,"“Por agora, a política deve seguir restritiva.” Apesar disso, reconheceu que os preços têm caído além do esperado.",-1
09/01/24,"Os comentários parecem vir na mesma linha da ata do Fed, que semana passada deu uma esfriada na precificação mais dovish, embora as apostas no CME em corte do juro em março ainda continuem rodando acima de 60%.",-1
09/01/24,"Todo o suspense está transferido esta semana para o CPI de dezembro, apontado como o próximo desafio do Fed.",-1
09/01/24,"Por aqui, não existe desafio maior do que a questão fiscal. Na briga para assegurar o déficit mais próximo de zero, a equipe econômica não pode abrir mão de nenhuma renúncia de arrecadação e abre confronto com o Congresso.",1
09/01/24,"Ao vetar a desoneração da folha e baixar a MP que prevê a extinção gradual do benefício até 2027, Lula peitou a decisão do Legislativo, encampou a luta da Fazenda, deu capital político a Haddad e irritou o Parlamento.",1
09/01/24,"No Estadão de hoje, em meio à pressão de parlamentares pela devolução imediata da MP que revogou a desoneração, a Fazenda articula uma saída para convencer Pacheco a colocar o tema em votação no Congresso.",1
09/01/24,"Vai argumentar que a tramitação via MP dá protagonismo aos senadores na discussão de um tema caro aos parlamentares. Se a tática de sensibilização falhar, pode partir para uma outra alternativa, segundo a reportagem.",1
09/01/24,"O governo apresentaria um projeto de lei sobre o mesmo assunto, começando a discussão pela Câmara.",1
09/01/24,"A tramitação via PL chegou a ser defendida pelo relator da desoneração, senador Angelo Coronel (PSD-BA), logo que o ministro Fernando Haddad anunciou a edição da MP alterando a desoneração da folha de pagamentos.",1
09/01/24,"Se nada vingar na frente política, a Fazenda já avisou que vai partir para o “tudo ou nada”, recorrendo ao STF.",1
09/01/24,"A estratégia de convencimento dos senadores foi discutida ontem, em reunião de Haddad com Randolfe e Jaques Wagner, líderes do governo no Congresso e Senado. Ainda Padilha (Relações Institucionais) participou da conversa.",1
09/01/24,"Para o encontro de hoje de Pacheco com as lideranças, seis senadores confirmaram presença. Das principais bancadas, porém, apenas o líder do União Brasil, Efraim Filho (PB), deverá estar na capital federal para participar.",1
09/01/24,Ele é autor do projeto de lei que prorrogou a desoneração da folha de pagamentos até 2027.,1
10/01/24,"Na defensiva com o CPI de amanhã, NY continua baixando a bola sobre um corte do juro em março e espera hoje pelos comentários do Fed boy John Williams em evento, às 17h15, na reta final dos negócios em Wall Street. Por aqui, o diretor de Política Econômica do BC, Diogo Guillen, participa às 11h de evento virtual do JPMorgan sobre conjuntura econômica, enquanto os mercados domésticos já começam o ano entrando na pilha de um Fed menos dovish e dos ruídos fiscais domésticos. A novela da MP da Reoneração da folha virou uma disputa de forças entre a Fazenda e o Congresso, e Pacheco pretende costurar uma saída política até 6ªF.",0
10/01/24,"No início da noite de ontem, Pacheco se reuniu com Lula para fechar um acordo sobre a MP e, segundo fontes ouvidas pelo colunista Valdo Cruz/g1, disse ao presidente que a MP “dificilmente será aprovada”.",0
10/01/24,Pacheco relatou que o clima dentro do Congresso é muito ruim para a MP e que a medida tem grandes chances de ser derrotada ou até devolvida. Uma saída seria o próprio governo retirar a MP de tramitação.,0
10/01/24,"Pacheco sugeriu o envio por projeto de lei em regime de urgência dos três temas da proposta: reoneração da folha, limite de compensação de créditos tributários e redução de incentivos fiscais ao setor de eventos (Perse).",0
10/01/24,"A decisão teria ficado para hoje, em reunião entre Dario Durigan (interino na Fazenda) e a equipe de Pacheco.",0
10/01/24,"Na Folha, antes de adotar uma decisão drástica, como a devolução da MP, que aumentaria ainda mais o desgaste entre o governo e o Parlamento, o presidente do Senado conversaria com o ministro Haddad.",1
10/01/24,"A intenção seria estudar alternativas e esgotar todas as possibilidades para evitar uma ruptura. Pacheco também telefonaria para Lira para deixar as coisas bem amarradas, em meio à crise institucional instalada.",1
10/01/24,"Ligaria também para as lideranças partidárias que faltaram à reunião de ontem, como Otto Alencar (PSD) e Eduardo Braga (MDB). Como se imaginava, o encontro desta 3ªF foi inconclusivo e esvaziado pelo recesso.",1
10/01/24,Pacheco promete tomar uma decisão sobre a MP ainda durante o recesso “para garantir estabilidade jurídica”.,1
10/01/24,"O Novo entrou nesta 3ªF com uma Ação Direta de Inconstitucionalidade no STF para questionar a MP, que “fere a separação entre Poderes e está totalmente viciada, já que Lula não pode governar por decreto e impor sua vontade”.",0
10/01/24,"Pacheco diz estar comprometido a buscar uma “solução de arrecadação sustentável” e admitiu “remodelamento” da desoneração, com transição gradativa entre o texto aprovado pelo Congresso e o exigido pelo governo.",0
10/01/24,"Pacheco rechaçou o comentário de Durigan de que, sem a MP, o governo pode ter que mudar a meta fiscal.",0
10/01/24,"“Seguramente, não será por isso, até porque temos outras alternativas, tanto de arrecadação, quanto de corte de gastos públicos, que podem manter essa desoneração, que era o que sustentava a geração de empregos”, observou.",0
10/01/24,"Na estratégia de oportunidade, o que se nota é que a Fazenda já começa a preparar o script de justificativas para desistir da meta fiscal zero, que sempre foi considerada ambiciosa demais para o mercado embarcar na ousadia.",0
10/01/24,"“PIBÃO” – Em entrevista veiculada ontem à noite pela Voz do Brasil, Tebet apostou que a economia brasileira vai crescer mais de 2% este ano, contra a previsão mais conservadora do mercado no Focus, de 1,59%.",1
10/01/24,"A aposta da ministra está em linha com a previsão da Fazenda, que estima alta do PIB de 2,2% neste ano.",1
10/01/24,"Para justificar o otimismo, Tebet citou os investimentos do PAC e a “credibilidade do mercado” sobre a condução da economia pela equipe da Fazenda e do Planejamento, construída ao longo do último ano.",1
10/01/24,"Em sua avaliação, as aprovações em 2023 da reforma tributária e arcabouço fiscal tiveram “impacto imediato e direto” para construir confiança junto ao mercado, assegurando que o governo não irá “gastar por gastar”.",1
10/01/24,"MAIS AGENDA – Saem aqui a primeira prévia de janeiro do IPC-Fipe (5h), além dos dados da Anfavea de produção de veículos em dezembro e do fluxo nas estradas pedagiadas no mês de Natal, ambos às 10h.",1
10/01/24,"Nos EUA, serão divulgados os estoques no atacado em novembro (12h) e as reservas de petróleo do DoE (12h30), com previsão de -600 mil barris. No Reino Unido, o presidente do BoE, Andrew Bailey, fala (11h15).",-1
10/01/24,"INSTINTO DE PROTEÇÃO – Ainda que a liquidez baixa possa estar potencializando os movimentos defensivos, os negócios domésticos começam a passar recibo de que estão preocupados com o Fed e os desafios fiscais aqui.",-1
10/01/24,"Ontem, o Ibovespa entregou os 132 mil pontos, o dólar acelerou à faixa de R$ 4,90 e o DI completou sete altas seguidas, dando a medida da dose de cautela com o risco de a inflação americana (CPI) pregar um susto amanhã.",-1
10/01/24,"Uma surpresa hawkish não cairia bem aos mercados emergentes, que torcem para o juro parar de subir nos EUA. No front interno, causa desconforto a convicção de que a meta fiscal terá de ser alterada para acomodar gastos.",-1
10/01/24,"Além do cenário defensivo, também as blue chips jogaram contra o Ibov ontem. Petrobras ignorou a reação do petróleo, Vale (-1,27%, a R$ 73,33) caiu com a terceira queda consecutiva do minério e Bradesco também foi mal.",-1
10/01/24,"O banco (PN -2,69%, a R$ 16,30; ON -2,65%, a R$ 14,70) teve a recomendação rebaixada pelo Goldman Sachs de “neutro” para “venda”, com preço-alvo de R$ 16,00, potencial de queda de 4,4% em relação ao fechamento de 2ªF.",-1
10/01/24,"O rebaixamento pressionou outras ações do setor financeiro. A unit do Santander desvalorizou 2,91%, a R$ 30,99. Banco do Brasil ON recuou 1,50% (R$ 54,52). Já Itaú se salvou na estabilidade (-0,06%), a R$ 33,32.",-1
10/01/24,"Itaúsa, que teve a recomendação elevada de “neutro” para “compra” pelo Goldman Sachs, subiu 0,20%, a R$ 10,18. O preço-alvo saiu de R$ 11,33 para R$ 11,90.",-1
10/01/24,"Petrobras ON caiu 0,55% (R$ 39,42) e PN recuou 0,86% (R$ 38,10). Após o tombo de quase 3,5% do Brent na véspera, o petróleo olhou a tensão no Oriente Médio, agravada pela interrupção na produção 300 mil bpd na Líbia.",-1
10/01/24,"Em Londres, o Brent para março registrou recuperação parcial das perdas recentes e subiu 1,93%, a US$ 77,59 por barril. O WTI para fevereiro avançou 2,07%, a US$ 72,24 por barril, na Nymex.",-1
10/01/24,"3R Petroleum acompanhou o petróleo e subiu 4,20% (R$ 28,52), a segunda maior alta do dia.",-1
10/01/24,"Já as siderúrgicas lideraram as perdas do dia no Ibov. Gerdau, -5,22% (R$ 22,14); Gerdau Metalúrgica, -4,58% (R$ 10,20); e CSN, -4,47% (R$ 18,39).",-1
10/01/24,"Locaweb avançou 5,52% (R$ 6,12), beneficiada pela análise do BTG apontando resultados fortes no 4TRI23.",-1
10/01/24,"ROTA DE CORREÇÃO – Ainda aparando os exageros do fim de 2023, as taxas dos DIs engataram a sétima sessão de altas consecutivas.",-1
10/01/24,"A reprecificação do ciclo de corte de juros nos EUA tem parte nisso, mas o cenário interno também não tem ajudado, com os ruídos entre governo e Congresso impondo um piso nas taxas domésticas.",-1
10/01/24,"Ontem, os DIs sentiram a pressão do câmbio e andaram na contramão do alívio nos retornos dos Treasuries – que recuaram, mas não muito (a Note de 10 continuou acima de 4%).",-1
10/01/24,"O DI para Jan/25 subiu a 10,125%, (de 10,044%, ontem) e o DI Jan/26, a 9,775% (de 9,704%). O DI Jan/27, a 9,890% (de 9,842%); Jan/29, a 10,280% (10,252%); Jan/31, a 10,520% (10,496%); e Jan/33, a 10,650% (10,610%).",-1
10/01/24,"Um contraponto importante é que, apesar da recente sequência de altas, os juros recuperaram apenas uma pequena parte das fortes quedas do último bimestre de 2023, quando caíram entre 0,94pp e 1,32pp.",-1
10/01/24,"Do último pregão de dezembro até ontem, subiram entre 0,11 e 0,21pp.",-1
10/01/24,"No câmbio, o dólar à vista fechou perto da máxima do dia (+0,74%, a R$ 4,9061), num movimento que seguiu o padrão global, com a moeda americana ganhando terreno entre pares e emergentes.",-1
10/01/24,"Como nos juros, o impasse em torno da MP da reoneração da folha de pagamento também justificou maior cautela nos negócios. No câmbio futuro, o contrato do dólar para fevereiro subiu 0,71%, a R$ 4,9190.",-1
10/01/24,"NEVER BET AGAINST AMERICA? – Gradativamente, NY vai baixando o entusiasmo com o pivô dovish do Fed e reduzindo a certeza de corte do juro em março, ainda que o CPI de amanhã tenha potencial de agitar tudo de novo.",0
10/01/24,"A aposta no CME de que o BC americano comece o ciclo de aperto ainda neste 1Tri disparou para 90% no final do ano passado, começou 2024 em 70% (com a ata), iniciou esta semana em 64% e ontem chegou a cair abaixo de 60%.",0
10/01/24,"Os alertas hawkish de alguns Fed boys têm ajudado a baixar a euforia e, no clima de ressaca, depois da festa antecipada, os ralis das bolsas em NY já duram menos, com os investidores preferindo agora esperar para ver.",0
10/01/24,"Os principais índices de ações até reduziram as perdas no fim da sessão de ontem, mas o saldo do dia foi negativo para o Dow Jones (-0,42%, 37.525,10 pontos), que seguiu abalado pela Boeing (-1,41%).",0
10/01/24,"O S&P 500 recuou 0,15% (4.756,45). A alta do petróleo não sensibilizou as ações do setor, que contribuíram para a queda dos índices: Chevron (-2,56%) e Exxon Mobil (-1,30%).",0
10/01/24,"O setor financeiro também pressionou, com Goldman Sachs (-1,32%) e Bank of America (-1,55%).",0
10/01/24,"Ontem, o vice-presidente de supervisão do Fed, Michael Barr, afirmou que o BC americano não vai renovar o programa de empréstimos de emergência criado depois da quebra do Silicon Valley Bank.",0
10/01/24,"O programa, que foi “altamente eficaz”, segundo Barr, vence em 11 de março.",1
10/01/24,"O Nasdaq segurou alta marginal (+0,09%, 14.857,71), com ganhos das big techs Nvidia (+1,7%) e AMD (+2,1%).",1
10/01/24,"Em dia de aumento da demanda por ativos de segurança, os retornos dos Treasuries caíram, mas de forma tímida.",1
10/01/24,"O juro da T-note de 10 anos, referência global, chegou a furar o nível psicológico de 4%, mas terminou o dia em 4,016% (de 4,029%).",1
10/01/24,"Em postagens no X, o rei dos Treasuries Bill Gross (ex-Pimco) afirmou que, a 4%, a note está “sobrevalorizada”.",1
10/01/24,"Ele, que ganhou milhões no fim de 2023 apostando na queda dos juros, agora diz que faz mais sentido investir em Tips (indexados à inflação) ou em Treasuries mais curtos, em uma aposta de normalização da curva de juros nos EUA.",1
10/01/24,"Seguro para momentos de incerteza, o dólar subiu. O índice DXY fechou em alta de 0,33%, a 102,570 pontos. O euro caiu 0,19%, a US$ 1,0928, a libra cedeu 0,29%, a US$ 1,2705, e o iene recuou 0,17%, a 144,50/US$.",1
10/01/24,"EM TEMPO Cármen Lúcia (STF) concedeu prazo de 30 dias para prefeitura de Maceió e BRASKEM se manifestarem sobre acordo de indenização avaliado em R$ 1,7 bi por prejuízos causados pela extração de sal-gema na capital.",0
10/01/24,"TAESA obteve licença ambiental para a subestação Encruzo Novo, que faz parte da concessão Tangará Transmissora de Energia Elétrica, que será implantada entre os Estados do Maranhão e Pará",0
10/01/24,Prazo para início da operação comercial é março de 2028.,0
10/01/24,"LIGHT. Conselho de Administração elegeu três diretores interinos de RI, que irão substituir Eduardo Guardiano Leme Gotilla, que deixará todas as funções que até então exercia na companhia",0
10/01/24,"São eles: Alexandre Ferreira Nogueira, que assume a direção de RI na Light; Carlos Vinícius de Sá Roriz, na Light Energia; e Rodrigo Ribeiro Pereira Brandão, na Light Serviços de Eletricidade.",0
10/01/24,"BANCO PAN. BTG Pactual WM Gestora de Recursos atingiu participação de 5,36% das ações PN.",0
11/01/24,"Última leitura da inflação ao consumidor nos EUA antes da próxima reunião do Fed, que acontece daqui a pouco menos de três semanas, o CPI (10h30) deve acelerar para 0,2% em dezembro, contra 0,1% em novembro. O dado representa mais um teste de fogo para as apostas dovish. A precificação de corte do juro em março segue majoritária, rodando em torno de 65%, mas vem balançando desde a ata do Fed e ameaça virar o jogo, se o CPI botar pressão. Inflação também é destaque hoje na China (22h30) e por aqui, com o IPCA de dezembro (9h) e do acumulado de 2023, que, pela primeira vez em três anos, não deve estourar o teto da meta de 4,75%.",1
11/01/24,"Economistas ouvidos pelo Broadcast esperam que o indicador oficial de inflação do IBGE registre a terceira aceleração mensal consecutiva, puxado pelos alimentos e por itens com forte influência sazonal no fim do ano.",1
