date,article,label
09/02/2024,"… Começou o feriado do Ano Novo Lunar na China, que fecha os mercados asiáticos por uma semana e reduz a liquidez das commodities.
Em NY, o mercado segue se ajustando às novas perspectivas para os juros e, a cada fala de um Fed boy ou um dado mais forte, se convence de que o Fed pode demorar mais a começar os cortes. Essa reprecificação pressiona os yields dos Treasuries e o dólar, que aqui voltou a testar os R$ 5, enquanto as taxas futuras subiam na B3.
Os ativos domésticos também já assumem posição defensiva antes do carnaval, quando sairá, nos EUA, o CPI (3ªF). Internamente, causou apreensão o IPCA acima do esperado, que eleva a expectativa para os dados de serviços, que o IBGE divulga hoje (9h).
Na bolsa, repercutem o balanço de BB e o relatório de produção da Petrobras. Brasília também está no radar, com o recuo do governo na reoneração.",-1
09/02/2024,"… No Estadão, a Fazenda estaria disposta a mudar o formato e prazo da reoneração da folha de pagamento. Na construção do meio-termo, Haddad aceitaria retirar a reoneração da MP e enviar projeto de lei ao Congresso.",1
09/02/2024,"… O PL (projeto de lei) seria enviado em caráter de urgência, ou seja, com prazo de 45 dias para análise (depois disso, tranca a pauta) e podendo ser analisado diretamente nos plenários da Câmara e do Senado para apressar a tramitação.",1
09/02/2024,"… Esse formato daria poder maior ao Legislativo em comparação à MP, que entra em vigor assim que é editada pelo presidente. Como Lira é dono da pauta na Câmara, a celeridade do processo respeitaria a sua vontade.",1
09/02/2024,… A importância de o governo Lula “estar de bem” com Lira é particularmente importante à agenda fiscal neste momento político de reação da oposição no Congresso à ação da PF contra Bolsonaro e seus aliados diretos.,0
09/02/2024,"… Internamente, segundo corre nos bastidores, o PL (Partido Liberal), que tem a maior bancada de deputados e expressividade no Senado, já não descarta atrapalhar as próximas votações no Congresso, como protesto à atuação da PF.",-1
09/02/2024,"… Mas a ascendência de Lira sobre o Centrão (bloco de deputados inexpressivos) promete ser decisiva para o governo, para o bem ou para o mal.",-1
09/02/2024,"… Depois da bronca ao governo no discurso de abertura do ano legislativo, o presidente da Câmara acredita que já deu o seu recado e acena para “dias de paz”, segundo o Jornal Valor devendo se reunir com Lula após o carnaval. ",0
09/02/2024,"… O recuo da Fazenda na reoneração foi tema ontem da reunião entre Haddad e senadores. A MP em vigor atualmente acaba com a desoneração da folha a partir de abril, mantendo uma cobrança escalonada até 2027.",-1
09/02/2024,"… A partir de 2028, as empresas passariam a pagar a alíquota integral. Mas o governo se mostra disposto a adiar em um ano, para 2029, o prazo para a cobrança integral, dando maior tempo para as empresas se adaptarem.",1
