date,article,label,cleaned_article
09/01/24,"O petróleo testava reação moderada (+0,50%) no pregão asiático, o que pode ser positivo para o Ibovespa nesta 3ªF de agenda fraca.",0,petróleo testar reação moderar pregão asiático positivo índice bovespa agenda fraco
09/01/24,"Circularam comentários de que a reunião de Pacheco com os líderes do Senado para debater a MP da reoneração da folha, prevista para as 9h, poderia nem acontecer, esvaziada pelo recesso parlamentar.",0,circularam comentário reunião pacheco líder senado debater medida provisória reoneração folha prever poder acontecer esvaziar recesso parlamentar
09/01/24,"De qualquer modo, seis senadores estão com a presença confirmada. Único indicador previsto aqui é a prévia do IGP-M (8h).",0,modo senador presença confirmar único indicador prever prévia
09/01/24,"Nos EUA, sai a balança comercial de novembro (10h30) e o Fed boy Michael Barr participa de evento às 14h.",-1,estados unidos sair balança comercial novembro fed boy michael barr participar evento
09/01/24,"O investidor cumpre a espera pela 5ªF, que promete a emoção do CPI americano, neste momento em que o mercado já não tem tanta certeza se o juro vai cair seis vezes nos EUA e nem se o primeiro corte do Fed virá em março.",-1,investidor cumprir espera prometer emoção índice preço consumidor americano mercado juro cair estados unidos corte fed vir março
09/01/24,"NY já tinha fechado ontem, quando a diretora do Fed Michelle Bowman disse, em conferência, que ainda não é o momento de discutir o início do ciclo de queda e que não descarta até mesmo um aperto se a inflação estagnar.",-1,ny ter fechar diretora fed michelle bowman dizer conferência discutir início ciclo queda descartar aperto inflação estagnar
09/01/24,"Por outro lado, ela observou que a política monetária do Fed já é restritiva o suficiente para trazer a inflação de volta à meta de 2%, caso mantida no patamar atual pelo “tempo necessário” (que ninguém sabe qual é).",-1,outro observar política monetário fed restritivo suficiente trazer inflação volta meta caso mantir patamar atual necessário ninguém
09/01/24,"Mais cedo, Raphael Bostic, que também vota este ano, afirmou que espera só dois cortes de 25pb no juro e apenas no final do ano, ressaltando que ainda não se sente confortável para declarar vitória sobre a inflação.",-1,raphael bostic vota ano afirmar esperar corte juro ano ressaltar sentir confortável declarar vitória inflação
09/01/24,"“Por agora, a política deve seguir restritiva.” Apesar disso, reconheceu que os preços têm caído além do esperado.",-1,política seguir restritivo apesar reconhecer preço cair esperado
09/01/24,"Os comentários parecem vir na mesma linha da ata do Fed, que semana passada deu uma esfriada na precificação mais dovish, embora as apostas no CME em corte do juro em março ainda continuem rodando acima de 60%.",-1,comentário parecer vir mesmo linha ata fed semana passado dar esfriada precificação dovish aposta cme corte juro março continuir rodar acima
