01/03/24,label
"… Vieram fortes neste domingo a produção industrial e das vendas no varejo na China no primeiro bimestre, mas não mudam a aposta de que Pequim manterá o juro amanhã à noite. Na bateria de decisões de política monetária da semana, pelo menos dez BCs globais decidem juro, com particular atenção para três deles. O Fed (4ªF) deve consolidar junho como ponto de partida dos cortes, mas pode encurtar o ciclo de queda, diante da inflação resistente. O suspense é se o gráfico de pontos precificará menos de três reduções do juro, trazendo pressão global ao dólar, que aqui já encosta em R$ 5. No Japão, se o BoJ já não acabar com os juros negativos agora (a decisão sai hoje, à meia-noite), a normalização das taxas não deve passar de abril. Quanto ao Copom, na Super 4ªF, o forward guidance de novos cortes de 0,5pp nas próximas reuniões, no plural, será testado. A semana muito movimentada para os negócios reserva ainda o relatório bimestral de avaliação do Orçamento, a ser enviado ao Congresso na 6ªF.",0
… O documento definirá quanto será necessário bloquear de despesas para o cumprimento da meta fiscal de zerar o déficit das contas públicas em 2024 e toda e qualquer receita computada ajuda a reduzir o contingenciamento.,0
"… Em uma decisão estratégica, a MP que atualmente revoga o Perse e reonera as prefeituras será mantida, para a equipe econômica poder contabilizar o aumento da receita previsto, apesar de que os temas serão enviados por PL.",0
"… Em entendimento com o governo, o Congresso não analisará antes do relatório bimestral o veto de Lula sobre os R$ 5,6 bi de emendas de comissão, dentro dos esforços da equipe econômica para limitar o contingenciamento.",-1
"… Nas últimas semanas, Simone Tebet antecipou que o bloqueio deve ser “muito menor” do que o esperado, diante das surpresas positivas da arrecadação federal em janeiro e também em fevereiro (ainda não divulgada). ",0
"… Com isso, disse Tebet, o Poder Executivo “provavelmente” não deverá precisar agora da resposta do TCU sobre a possibilidade de bloquear um valor menor do que o necessário para preservar a meta fiscal.",0
"… Na consulta ao tribunal, o Planejamento estimou que a regra prevista na LDO limitaria o bloqueio a um valor máximo de R$ 25,9 bi, contra cerca de R$ 50 bi que o mercado estima ser necessário para o cumprimento da meta.",-1
"… Na Folha de sábado, técnicos calcularam o governo Lula deve precisar bloquear um volume entre R$ 5 bilhões e R$ 15 bilhões do Orçamento para cumprir o limite de despesas do novo arcabouço fiscal.",-1
"… No mercado, o consenso é de que a meta fiscal zero ainda não será mudada agora e que uma alteração pode ficar para o próximo relatório bimestral, em maio, quando o governo terá maior clareza sobre a situação das contas.",-1
"… Seja como for, recentemente, fontes consultadas pela Exame não descartaram que a equipe econômica já aponte déficit fiscal de 0,25% do PIB/24 agora, ainda bem inferior ao rombo projetado pelo mercado na Focus (0,79%).",-1
"… Fica a ansiedade no ar, se Haddad vai continuar bancando a promessa e a “sobrevida” do déficit zero, diante da melhora da percepção fiscal neste início de ano, ou se a Fazenda já dará algum choque imediato de realidade.",-1
"… Embora o mercado continue colocando em dúvida a capacidade de o governo arrecadar o necessário para atingir a meta de déficit zero neste ano, o Tesouro turbinou a projeção de receitas em relatório divulgado na 6ªF.",-1
"… Foi atualizado de R$ 168,5 bilhões para R$ 170,8 bilhões o potencial do pacote de receitas adicionais do ano.",1
"… O órgão, contudo, fez a ressalva de que ainda não há uma previsão revisada para o potencial de arrecadação com os ajustes no instrumento dos juros sobre capital próprio (JCP) e que este dado terá que sofrer reavaliação.",0
"IR – O secretário extraordinário da reforma tributária, Bernardo Appy, disse que nenhum “grande projeto” será enviado pelo governo ao Congresso hoje, quando vence o prazo de 90 dias para enviar propostas para o texto.",0
"… Na semana passada, o Valor informou que, devido ao fato de este ser um ano eleitoral, a Fazenda vai adiar o envio do plano da reforma tributária sobre a renda, que trataria de itens como a cobrança do IR sobre os dividendos.",0
"COPOM – Apesar de a inflação de serviços no IPCA/fev não ter assustado, uma série de dados fortes nos últimos dias (serviços, vendas no varejo e geração de empregos do Caged) levantou especulações sobre a trajetória da Selic.",0
"… Economistas não duvidam que o BC encerre o ciclo de cortes mais cedo, antes de atingir os 9%. A retirada do forward guidance seria a deixa para o Copom cortar menos em maio (0,25pp) e parar de cortar em junho ou julho.",-1
"… Galípolo e Guillen já andaram telegrafando que o compromisso com novos cortes de 0,5pp da Selic pode ser quebrado em algum momento. Mas talvez ainda não agora, segundo a avaliação de pelo menos dois grandes bancos.",-1
"… Para o Itaú, o mais provável é o BC preferir conservar a prescrição para evitar aumento excessivo de volatilidade nos negócios. Também o Goldman Sachs projeta manutenção, embora com alterações importantes na linguagem.",0
"… Segundo o diretor de pesquisa macroeconômica para AL do Goldman Sachs, Alberto Ramos, um novo trecho no comunicado pode informar que será a última vez em que o Copom oferecerá sinalização para mais de uma reunião.",0
"… Outra alternativa, segundo o executivo, seria o BC adicionar um condicionante ao texto, dizendo que o comitê espera, “neste momento”, novas reduções de mesma magnitude da Selic, despistando sobre os próximos passos.",0
"… Existe também a possibilidade, segundo Ramos, de o Copom preservar o guidance, mas reforçar a natureza condicional da sinalização, esclarecendo que ela é válida apenas caso o cenário básico do BC se materialize.",0
"… Coincidindo com as surpresas da inflação pressionada e do fôlego da atividade, o Copom dá os primeiros sinais de que pretende ganhar liberdade para não se comprometer com os dois próximos passos da política monetária.",0
"… Antes do Copom, o investidor ainda poderá conferir hoje (9h) o ritmo do “PIB do BC”. O bom desempenho das vendas do varejo ampliado e do volume de serviços devem sustentar o crescimento do IBC-Br em janeiro.",0
"… O mercado prevê um avanço de 0,65%, contra 0,82% em dezembro. As projeções no Broadcast vão de queda de 0,30% a alta de 1,60%. Na base anualizada, o dado deve avançar 3,60% na mediana, contra 1,36% em dezembro.",0
"… Do lado da inflação, o IGP-10, que também sai hoje (8h), deve cair 0,34% em março, menos do que caiu em fevereiro (0,65%), diante da perda de ímpeto na deflação dos preços agropecuários ao produtor.",0
"… Ainda na agenda doméstica, saem as prévias do IPC-S (hoje, às 8h) e do IPC-Fipe, amanhã.",0
"BALANÇOS – A temporada dos resultados trimestrais prossegue hoje com Embraer, antes da abertura dos negócios, além de Magazine Luiza, Braskem, Itaúsa, Vamos e Grupo SBF (Centauro), depois do fechamento do mercado.",0
"… JSL apresenta dados financeiros amanhã, enquanto a 4ªF terá as demonstrações da Equatorial, Cogna, Locaweb e Vivara. Na 5ªF, é a vez de Sabesp, Cemig, CPFL e Gafisa. Fechando a semana, na 6ªF, saem os números da Qualicorp.",0
LULA – Convocou para hoje a primeira reunião ministerial do ano. O encontro (9h) deve reunir todos os ministros no Planalto e ocorre em meio à queda da aprovação do governo federal nas pesquisas de opinião e à crise na Petrobras.,0
"… Para participar do encontro, Haddad desistiu da viagem que faria à Alemanha para tratar de transição ecológica.",0
"CAPTAÇÕES – O governo pediu ao Senado a ampliação em US$ 50 bilhões, de US$ 75 bilhões para US$ 125 bilhões, do teto estabelecido para a emissão de títulos públicos no exterior, informa o Estadão.",-1
"LÁ FORA – Entre os grandes BCs, também o BoE inglês tem decisão de política monetária na semana (5ªF). Deve optar por manter o juro pela quinta reunião seguida, ainda em coragem para cortar, diante da inflação.",0
"… Um dia antes da decisão, o Reino Unido divulga na 4ªF os dados do CPI e do PPI em fevereiro. Hoje, é dia de inflação ao consumidor na zona do euro (7h). Na 5ªF, sai o PMI composto. Lagarde (BCE) discursa amanhã.",0
