date,article,label
01/02/2024,"… O PMI industrial chinês medido pelo setor privado ficou estável em janeiro, a 50,8, mas superou a previsão de 50,5. Só não se sabe se será garantia de ânimo para os negócios, que vêm exibindo cautela com a China. No day after do Fed e do Copom, o BC inglês deve manter o juro (9h), com placar unânime. O primeiro corte do BoE só é esperado pelo mercado financeiro para a partir de maio. Na zona do euro, sai a inflação do CPI de janeiro (7h), além do PMI industrial (6h), que também será divulgado nos EUA. A maior expectativa em NY fica pelos balanços da noite, com mais três gigantes do setor de tecnologia: Apple, Amazon e Meta. Além disso, os negócios podem continuar absorvendo Powell, que enterrou a chance de o juro começar a cair em março. O mercado doméstico tem tudo para acompanhar o exterior, porque o comunicado do Copom não rendeu nenhuma novidade.",0
01/02/2024,"… O texto do BC, praticamente igual ao anterior (dezembro), dispensa ajuste relevante no DI curto. Já o trecho longo pode engatar na abertura alguma dose de pressão com o Fed, que vai demorar mais para cortar o juro.",0
01/02/2024,"… Depois de baixar a Selic para 11,25%, o BC não mexeu em quase nada do comunicado, inclusive no parágrafo mais importante, contratando novas quedas do juro de igual magnitude (0,50pp) para as próximas reuniões (no plural).",1
01/02/2024,"… O Copom não encurtou o horizonte de cortes, mas manteve a barra alta para acelerar o pace (-0,75pp).",1
01/02/2024,"… Isso significa que março continua dado e que maio também não reserva surpresas, projetando recuo de 100pb até lá, para 10,25%. O que vai continuar movimentando os negócios são as apostas para o tamanho do ciclo.",1
01/02/2024,"… As chances de Selic terminal de 9% ou menos continuarão condicionadas, em grande medida, ao exterior.",1
01/02/2024,"… O Copom considera que o cenário externo segue volátil, incerto e que exige “cautela” por parte de países emergentes, apesar do início da flexibilização monetária nas principais economias e sinais de queda na inflação",0
01/02/2024,"… A menção ao debate sobre a queda de juros nos exterior pode ser considerada a única novidade do texto, segundo o economista-chefe do PicPay, Marco Caruso. “O Copom está confortável com seu plano de voo.”",0
01/02/2024,"… Sobre o quadro doméstico, o comunicado avaliou que o ritmo de queda da Selic é apropriado para manter a política monetária contracionista, necessária para o processo desinflacionário e para as expectativas de inflação.",1
01/02/2024,"… O Copom citou a resiliência da inflação de serviços como risco, mas disse que a inflação cheia ao consumidor mantém trajetória de desinflação, “assim como as medidas de inflação subjacente, que se aproximam da meta”.",1
01/02/2024,"… O Comitê não ajustou suas expectativas para a inflação de 2024 (3,5%) e nem para o ano que vem (3,2%). Em relação à atividade doméstica, disse que o quadro segue consistente com o cenário de desaceleração da economia.",0
01/02/2024,"… Sobre o quadro fiscal, limitou-se a reafirmar a importância da “firme persecução das metas”. O Copom votou de forma unânime, afastando o risco de dissidência com a entrada dos novos diretores indicados pelo presidente Lula.",1
01/02/2024,"FICA A DICA – No recado explícito de Powell, de que março é “cedo demais” para cortar juro, NY eliminou boa parte da precificação dovish do 1Tri (35%) e jogou para maio (94%), porque a esperança é a última que morre, mas morre.",0
01/02/2024,"… Segundo o presidente do Fed, não há confiança suficiente de que a inflação está voltando à meta de 2% de modo sustentado e será necessário continuar a observar. A mensagem do Fomc é que vai ganhar tempo antes de agir.",1
01/02/2024,"… Antes mesmo de Powell praticamente descartar um relaxamento monetário em março, o statement do Fed já havia revelado algumas mudanças de linguagem que esvaziavam a chance de o ciclo de corte começar mais cedo.",1
01/02/2024,"… Embora tenha retirado o trecho sobre um possível aperto monetário adicional, o Fed alterou logo no primeiro parágrafo a avaliação sobre o desempenho da economia, de “desacelerou” para “tem se expandido em ritmo sólido”.",1
01/02/2024,"… Ao manter a taxa básica entre 5,25% e 5,50% ontem, o Fed observou que o juro americano está no pico, mas que promover um desaperto monetário muito cedo pode acarretar o risco de reversão do progresso inflacionário.",1
01/02/2024,"… Sobre o mercado de trabalho, disse que segue “apertado”, apesar de dar sinais de um quadro de maior equilíbrio. Isso leva a crer que, mesmo que venha fraco amanhã, o payroll não deve sensibilizar o Fed a cortar o juro em março.",0
01/02/2024,"… Convencido de que o Fomc não está com pressa, o Morgan Stanley espera o primeiro corte só para junho.",0
01/02/2024,"… Segundo a ferramenta do CME, depois do Fed, o cenário de uma queda acumulada de 150pb da taxa básica este ano ficou um pouco menos provável (39,5% para 38,8%), mas ainda é a principal aposta dos investidores em NY.",1
01/02/2024,"… Foi Powell falar ontem, para as bolsas em NY acelerarem o pessimismo na reta final dos negócios (abaixo).  ",1
01/02/2024,"DRIBLE FISCAL – Vice-líder do governo na Câmara, o deputado Pedro Paulo vai apresentar um projeto de lei ou uma emenda para oficializar um mecanismo que bloqueie menos recursos do Orçamento de 2024, informa O Globo.",1
01/02/2024,"… Pelo texto do arcabouço aprovado em 2023, o contingenciamento este ano poderia chegar a R$ 53 bilhões.",1
01/02/2024,"… Mas o entendimento do Ministério da Fazenda é de que o número máximo teria que ser de R$ 23 bilhões, porque é preciso respeitar a expansão de gastos mínima prevista no arcabouço fiscal, que é de 0,6% acima da inflação.",1
01/02/2024,"… Preocupado com a LRF, o governo Lula formalizou a consulta ao TCU para saber se a imposição de um bloqueio menor no Orçamento de 2024 em um cenário de grande frustração de receitas pode gerar punição aos gestores.",-1
01/02/2024,"… Recentemente, a área técnica do TCU apontou que a expectativa de receitas do governo este ano está “superestimada” e que a falta de credibilidade aponta para déficit fiscal de -0,5% do PIB, ao invés de zero.",-1
01/02/2024,"… Em estudo divulgado ontem, a Secretaria de Política Econômica (SPE) da Fazenda renovou o otimismo com a arrecadação, projetando 19,2% do PIB, contra receita líquida de 17,5% em 2023, no governo Bolsonaro.",1
01/02/2024,"AJUDA ÀS AÉREAS – Prates afirmou, em entrevista ao Broadcast, que a Petrobras está disposta a colaborar com o debate sobre a situação do setor aéreo, mas que não vai reduzir o preço do combustível com um “canetaço”.",0
