date,article,label
01/03/24,"… Vieram fortes neste domingo a produção industrial e das vendas no varejo na China no primeiro bimestre, mas não mudam a aposta de que Pequim manterá o juro amanhã à noite. Na bateria de decisões de política monetária da semana, pelo menos dez BCs globais decidem juro, com particular atenção para três deles. O Fed (4ªF) deve consolidar junho como ponto de partida dos cortes, mas pode encurtar o ciclo de queda, diante da inflação resistente. O suspense é se o gráfico de pontos precificará menos de três reduções do juro, trazendo pressão global ao dólar, que aqui já encosta em R$ 5. No Japão, se o BoJ já não acabar com os juros negativos agora (a decisão sai hoje, à meia-noite), a normalização das taxas não deve passar de abril. Quanto ao Copom, na Super 4ªF, o forward guidance de novos cortes de 0,5pp nas próximas reuniões, no plural, será testado. A semana muito movimentada para os negócios reserva ainda o relatório bimestral de avaliação do Orçamento, a ser enviado ao Congresso na 6ªF.",0
01/03/24,… O documento definirá quanto será necessário bloquear de despesas para o cumprimento da meta fiscal de zerar o déficit das contas públicas em 2024 e toda e qualquer receita computada ajuda a reduzir o contingenciamento.,0
01/03/24,"… Em uma decisão estratégica, a MP que atualmente revoga o Perse e reonera as prefeituras será mantida, para a equipe econômica poder contabilizar o aumento da receita previsto, apesar de que os temas serão enviados por PL.",0
01/03/24,"… Em entendimento com o governo, o Congresso não analisará antes do relatório bimestral o veto de Lula sobre os R$ 5,6 bi de emendas de comissão, dentro dos esforços da equipe econômica para limitar o contingenciamento.",-1
01/03/24,"… Nas últimas semanas, Simone Tebet antecipou que o bloqueio deve ser “muito menor” do que o esperado, diante das surpresas positivas da arrecadação federal em janeiro e também em fevereiro (ainda não divulgada). ",0
01/03/24,"… Com isso, disse Tebet, o Poder Executivo “provavelmente” não deverá precisar agora da resposta do TCU sobre a possibilidade de bloquear um valor menor do que o necessário para preservar a meta fiscal.",0
01/03/24,"… Na consulta ao tribunal, o Planejamento estimou que a regra prevista na LDO limitaria o bloqueio a um valor máximo de R$ 25,9 bi, contra cerca de R$ 50 bi que o mercado estima ser necessário para o cumprimento da meta.",-1
01/03/24,"… Na Folha de sábado, técnicos calcularam o governo Lula deve precisar bloquear um volume entre R$ 5 bilhões e R$ 15 bilhões do Orçamento para cumprir o limite de despesas do novo arcabouço fiscal.",-1
01/03/24,"… No mercado, o consenso é de que a meta fiscal zero ainda não será mudada agora e que uma alteração pode ficar para o próximo relatório bimestral, em maio, quando o governo terá maior clareza sobre a situação das contas.",-1
01/03/24,"… Seja como for, recentemente, fontes consultadas pela Exame não descartaram que a equipe econômica já aponte déficit fiscal de 0,25% do PIB/24 agora, ainda bem inferior ao rombo projetado pelo mercado na Focus (0,79%).",-1
01/03/24,"… Fica a ansiedade no ar, se Haddad vai continuar bancando a promessa e a “sobrevida” do déficit zero, diante da melhora da percepção fiscal neste início de ano, ou se a Fazenda já dará algum choque imediato de realidade.",-1
01/03/24,"… Embora o mercado continue colocando em dúvida a capacidade de o governo arrecadar o necessário para atingir a meta de déficit zero neste ano, o Tesouro turbinou a projeção de receitas em relatório divulgado na 6ªF.",-1
01/03/24,"… Foi atualizado de R$ 168,5 bilhões para R$ 170,8 bilhões o potencial do pacote de receitas adicionais do ano.",1
01/03/24,"… O órgão, contudo, fez a ressalva de que ainda não há uma previsão revisada para o potencial de arrecadação com os ajustes no instrumento dos juros sobre capital próprio (JCP) e que este dado terá que sofrer reavaliação.",0
01/03/24,"IR – O secretário extraordinário da reforma tributária, Bernardo Appy, disse que nenhum “grande projeto” será enviado pelo governo ao Congresso hoje, quando vence o prazo de 90 dias para enviar propostas para o texto.",0
