cleaned_article,label,classification_multi,classification_binary
vieram forte domingo produção industrial venda varejo china bimestre mudar aposta pequim manter juro amanhã noite bateria decisão política monetário semana bcs global decidir juro particular atenção de eles fed consolidar junho partida corte encurtar ciclo queda inflação resistente suspense gráfico precificar redução juro trazer pressão global dólar encostar japão boj acabar juro negativo decisão sair hoje normalização taxa passar abril copom super forward guidance corte próximo reunião plural ser testar semana movimentado negócio reservar relatório bimestral avaliação orçamento enviar congresso,0,0,
documento definizer ser necessário bloquear despesa cumprimento meta fiscal zerar déficit conta público receita computar ajudar reduzir contingenciamento,0,-1,
decisão estratégico medida provisória atualmente revogar perse reonerar prefeitura ser mantir equipe econômico contabilizar aumento receita prever apesar tema ser enviar pl,0,1,
entendimento governo congresso analisar relatório bimestral veto lula bi emenda comissão esforço equipe econômico limitar contingenciamento,-1,1,1.0
último semana simone tebet antecipar bloqueio esperar surpresa positivo arrecadação federal janeiro fevereiro divulgar,0,0,
dizer tebet executivo provavelmente precisar resposta tcu possibilidade bloquear necessário preservar meta fiscal,0,0,
consulta tribunal planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário cumprimento meta,-1,1,1.0
folha sábado técnico calcular governo lula precisar bloquear volume orçamento cumprir limite despesa arcabouço fiscal,-1,-1,-1.0
mercado consenso meta fiscal ser mudar alteração ficar relatório bimestral maio governo ter clareza situação conta,-1,0,-1.0
seja recentemente fonte consultar exame descartar equipe econômico aponte déficit fiscal produto interno inferior rombo projetar mercado focus,-1,-1,-1.0
ficar ansiedade ar haddad continuar bancar promessa sobrevida déficit melhora percepção fiscal início ano fazenda dar algum choque imediato realidade,-1,0,1.0
mercado continuar colocar dúvida capacidade governo arrecadar necessário atingir meta déficit ano tesouro turbinar projeção receita relatório divulgar,-1,0,-1.0
atualizar potencial pacote receita adicional ano,1,1,1.0
órgão ressalva haver previsão revisar potencial arrecadação ajuste instrumento juro capital jcp dado ter sofrer reavaliação,0,0,
imposto renda secretário extraordinário reforma tributário bernardo appy dizer nenhum projeto ser enviar governo congresso hoje vencer prazo dia enviar proposta texto,0,0,
semana passado informar devido fato ano eleitoral fazenda adiar envio plano reforma tributário renda tratar item cobrança imposto renda dividendo,0,-1,
copom apesar inflação serviço índice nacional preço consumidor amplo fev assustar série dado forte último dia serviço venr varejo geração emprego caged levantar especulação trajetória especial liquidação custódia,0,0,
economista duvidar banco central encerrer ciclo corte atingir retirada forward guidance deixa copom cortar maio parar cortar junho julho,-1,0,-1.0
galípolo guillen andar telegrafar compromisso corte especial liquidação custódia quebrar algum avaliação banco,-1,0,1.0
itaú provável banco central preferir conservar prescrição evitar aumento excessivo volatilidade negócio goldman sachs projetar manutenção alteração importante linguagem,0,0,
diretor pesquisa macroeconômico al goldman sachs alberto ramos trecho comunicado informar ser último copom oferecer sinalização reunião,0,0,
alternativa executivo banco central adicionar condicionante texto dizer comitê esperar redução mesmo magnitude especial liquidação custódia despistar próximo passo,0,0,
existe possibilidade ramos copom preservar guidance reforçar natureza condicional sinalização esclarecer válido caso cenário básico banco central materializar,0,0,
coincidindo surpresa inflação pressionar fôlego atividade copom primeiro sinal pretender ganhar liberdade comprometer próximo passo política monetário,0,0,
copom investidor conferir hoje ritmo produto interno bruto banco central desempenho venda varejo ampliar volume serviço sustentar crescimento janeiro,0,0,
mercado prever avanço dezembro projeção broadcast queda alta base anualizar dado avançar mediana dezembro,0,-1,
inflação sair hoje cair março cair fevereiro perda ímpeto deflação preço agropecuário produtor,0,-1,
agenda doméstico sair prévia hoje amanhã,0,0,
balanços temporada resultado trimestral prosseguir hoje embraer abertura negócio magazine luiza braskem itaúsa ir sbf centauro fechamento mercado,0,0,
jsl apresentar dado financeiro amanhã ter demonstração equatorial cogna locaweb vivara sabesp cemig cpfl gafisa fechando semana sair qualicorp,0,0,
