article,label,classification_multi,misclassification_type
… O documento definirá quanto será necessário bloquear de despesas para o cumprimento da meta fiscal de zerar o déficit das contas públicas em 2024 e toda e qualquer receita computada ajuda a reduzir o contingenciamento.,0,-1,0 misclassified as -1
"… Em uma decisão estratégica, a MP que atualmente revoga o Perse e reonera as prefeituras será mantida, para a equipe econômica poder contabilizar o aumento da receita previsto, apesar de que os temas serão enviados por PL.",0,1,0 misclassified as 1
"… Em entendimento com o governo, o Congresso não analisará antes do relatório bimestral o veto de Lula sobre os R$ 5,6 bi de emendas de comissão, dentro dos esforços da equipe econômica para limitar o contingenciamento.",-1,1,-1 misclassified as 1
"… Na consulta ao tribunal, o Planejamento estimou que a regra prevista na LDO limitaria o bloqueio a um valor máximo de R$ 25,9 bi, contra cerca de R$ 50 bi que o mercado estima ser necessário para o cumprimento da meta.",-1,1,-1 misclassified as 1
"… No mercado, o consenso é de que a meta fiscal zero ainda não será mudada agora e que uma alteração pode ficar para o próximo relatório bimestral, em maio, quando o governo terá maior clareza sobre a situação das contas.",-1,0,-1 misclassified as 0
"… Fica a ansiedade no ar, se Haddad vai continuar bancando a promessa e a “sobrevida” do déficit zero, diante da melhora da percepção fiscal neste início de ano, ou se a Fazenda já dará algum choque imediato de realidade.",-1,0,-1 misclassified as 0
"… Na semana passada, o Valor informou que, devido ao fato de este ser um ano eleitoral, a Fazenda vai adiar o envio do plano da reforma tributária sobre a renda, que trataria de itens como a cobrança do IR sobre os dividendos.",0,-1,0 misclassified as -1
"… Economistas não duvidam que o BC encerre o ciclo de cortes mais cedo, antes de atingir os 9%. A retirada do forward guidance seria a deixa para o Copom cortar menos em maio (0,25pp) e parar de cortar em junho ou julho.",-1,0,-1 misclassified as 0
"… Galípolo e Guillen já andaram telegrafando que o compromisso com novos cortes de 0,5pp da Selic pode ser quebrado em algum momento. Mas talvez ainda não agora, segundo a avaliação de pelo menos dois grandes bancos.",-1,0,-1 misclassified as 0
"… O mercado prevê um avanço de 0,65%, contra 0,82% em dezembro. As projeções no Broadcast vão de queda de 0,30% a alta de 1,60%. Na base anualizada, o dado deve avançar 3,60% na mediana, contra 1,36% em dezembro.",0,-1,0 misclassified as -1
"… Do lado da inflação, o IGP-10, que também sai hoje (8h), deve cair 0,34% em março, menos do que caiu em fevereiro (0,65%), diante da perda de ímpeto na deflação dos preços agropecuários ao produtor.",0,-1,0 misclassified as -1
"CAPTAÇÕES – O governo pediu ao Senado a ampliação em US$ 50 bilhões, de US$ 75 bilhões para US$ 125 bilhões, do teto estabelecido para a emissão de títulos públicos no exterior, informa o Estadão.",-1,0,-1 misclassified as 0
RÚSSIA – A vitória de Putin ao seu quinto mandato neste domingo levantou contestações pelos EUA e Ucrânia.,0,-1,0 misclassified as -1
"CENÁRIO SINGULAR – A aversão ao risco no exterior e dados surpreendentemente fortes da atividade doméstica pesaram sobre os juros, o dólar e o Ibovespa na 6ªF.",0,-1,0 misclassified as -1
"… Desde o dia anterior, quando os EUA divulgaram um PPI bem acima do esperado, investidores já estavam ajustando posições para um possível cenário de menos cortes de juros nos EUA.",0,-1,0 misclassified as -1
"… Depois de o varejo brasileiro surpreender, foi a vez de os serviços (+0,7%) ficarem acima do esperado (-0,5%) em janeiro ante dezembro. Ainda o dado de dezembro foi ajustado para cima, de alta de 0,3% para 0,7%.",0,1,0 misclassified as 1
"… Os números colocaram viés de alta nas projeções para o PIB/1Tri e para 2024 e deram mais força ao debate sobre uma mudança no forward guidance do Copom, com a substituição do plural pelo singular nas “próximas reuniões”.",0,1,0 misclassified as 1
"… Caso a atividade continue a surpreender, a visão de quem está vendo a Selic abaixo do consenso do mercado, de 9,0% pode mudar.",0,-1,0 misclassified as -1
"… O dólar acompanhou o clima ruim lá fora e testou mais uma vez o teto dos R$ 5 na máxima do dia (R$ 5,0016). Mas depois a pressão diminuiu com a expectativa de um Copom mais conservador, o que favoreceria o carry trade.",-1,1,-1 misclassified as 1
"… As declarações do ex-conselheiro da empresa José Luciano Duarte Penido, de que há interferência política no processo de sucessão de Eduardo Bartolomeo, continuaram a pesar.",-1,0,-1 misclassified as 0
"… Na semana, o Brent subiu 3,97%, o WTI teve alta de 3,88%.",-1,0,-1 misclassified as 0
"… Casas Bahia caiu 7,63% (R$ 7,40) e Lojas Renner baixou 6,72% (R$ 15,40).",0,-1,0 misclassified as -1
"À ESPERA DOS PONTOS DO FED – A percepção de que o Fed pode indicar ritmo menor no corte de juros na semana continuou a pressionar as bolsas em NY na 6ªF, assim como abasteceu nova rodada de alta nos juros dos Treasuries.",0,-1,0 misclassified as -1
"… Mas o dado de janeiro foi revisado de -0,1% para -0,5%.",0,-1,0 misclassified as -1
"… Enquanto isso, a leitura preliminar do índice de sentimento do consumidor dos EUA caiu de 76,9 em fevereiro para 76,5 em março, contra uma expectativa de avanço a 77,4.",0,-1,0 misclassified as -1
"… As expectativas de inflação, que vinham caindo, ficaram no mesmo lugar. Em 12 meses, seguiram em 3,0% e, para cinco anos, em 2,9%.",0,-1,0 misclassified as -1
"… Para a Lombard Odier Asset, no geral, os dados apontam para uma economia mais fraca, enquanto os preços desaceleram a um ritmo mais lento. Nos últimos dias, porém, o mercado preferiu “abraçar a narrativa da inflação”.",0,-1,0 misclassified as -1
